Car Name,Year,Selling Price,Present Price,Kms Driven,Fuel Type,Seller Type,Transmission,Owner
Bajaj Pulsar 135 LS,2014,560,896,13700,Petrol,Individual,Manual,0
Activa 4g,2017,560,714,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,532,1008,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,532,1101.8,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,490,1470,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,490,798,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,490,728,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,434,1470,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,420,714,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,420,672,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,420,812,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,378,658,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,350,1050,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,350,812,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,350,728,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,350,714,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,350,798,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,280,798,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,280,1050,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,280,798,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,280,1050,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,280,910,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,280,1101.8,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,252,448,35000,Petrol,Individual,Manual,0
Activa 3g,2008,238,728,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,224,714,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,210,798,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,168,812,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,140,1050,92233,Petrol,Individual,Manual,0
i20,2010,4550,9506,58000,Diesel,Dealer,Manual,1
grand i10,2015,6160,7980,28200,Petrol,Dealer,Manual,0
i10,2011,4130,6440,53460,Petrol,Dealer,Manual,0
eon,2015,3850,6202,28282,Petrol,Dealer,Manual,0
grand i10,2016,7350,7980,3493,Petrol,Dealer,Manual,1
xcent,2017,8050,9982,12479,Petrol,Dealer,Manual,0
grand i10,2015,7210,7980,34797,Petrol,Dealer,Automatic,0
i20,2017,11060,11340,3435,Petrol,Dealer,Manual,0
grand i10,2015,6790,7980,21125,Diesel,Dealer,Manual,0
i10,2012,4340,6440,35775,Petrol,Dealer,Manual,0
elantra,2015,16450,20706,43535,Diesel,Dealer,Manual,0
creta,2016,15750,19040,22671,Petrol,Dealer,Manual,0
i20,2011,4060,9506,31604,Petrol,Dealer,Manual,0
grand i10,2017,7350,7980,20114,Petrol,Dealer,Manual,0
verna,2012,6300,13160,36100,Petrol,Dealer,Manual,0
eon,2016,4060,6202,12500,Petrol,Dealer,Manual,0
eon,2016,4410,6202,15000,Petrol,Dealer,Manual,0
verna,2014,9030,13160,45078,Petrol,Dealer,Manual,0
verna,2012,6300,13160,36000,Petrol,Dealer,Manual,0
eon,2017,4900,6202,38488,Petrol,Dealer,Manual,0
i20,2013,6300,9506,32000,Petrol,Dealer,Automatic,0
i20,2014,8400,10640,77632,Diesel,Dealer,Manual,0
verna,2015,11550,13160,61381,Diesel,Dealer,Manual,0
verna,2013,7154,13160,36198,Petrol,Dealer,Automatic,0
i10,2011,3780,6440,22517,Petrol,Dealer,Manual,0
grand i10,2015,7350,7980,24678,Petrol,Dealer,Manual,0
i10,2011,3570,6202,57000,Petrol,Dealer,Manual,0
verna,2012,6930,13160,60000,Diesel,Dealer,Manual,0
i20,2012,4340,9506,52132,Diesel,Dealer,Manual,0
verna,2013,8610,13160,45000,Diesel,Dealer,Manual,0
verna,2017,12950,13160,15001,Petrol,Dealer,Manual,0
elantra,2015,16030,20706,12900,Petrol,Dealer,Automatic,0
grand i10,2013,5460,7980,53000,Diesel,Dealer,Manual,0
grand i10,2015,7700,7980,4492,Petrol,Dealer,Manual,0
verna,2017,12740,13160,15141,Petrol,Dealer,Manual,0
eon,2016,4340,6202,11849,Petrol,Dealer,Manual,0
creta,2015,15750,19040,68000,Diesel,Dealer,Manual,0
verna,2013,6720,13160,60241,Petrol,Dealer,Manual,0
eon,2012,2800,6202,23709,Petrol,Dealer,Manual,0
verna,2012,7490,13160,32322,Diesel,Dealer,Manual,0
xcent,2015,6650,9982,35866,Petrol,Dealer,Manual,1
xcent,2014,6160,9982,34000,Petrol,Dealer,Manual,0
i20,2016,8750,10640,7000,Petrol,Dealer,Manual,0
verna,2013,8330,13160,49000,Diesel,Dealer,Manual,0
verna,2012,7280,13160,71000,Diesel,Dealer,Manual,0
i20,2012,5250,9506,35000,Petrol,Dealer,Manual,0
verna,2015,8330,13160,36000,Petrol,Dealer,Manual,0
i10,2013,5600,6440,30000,Petrol,Dealer,Manual,0
i20,2016,7350,10640,17000,Petrol,Dealer,Manual,0
creta,2016,18060,19040,35934,Diesel,Dealer,Manual,0
city,2013,7000,13860,56701,Petrol,Dealer,Manual,0
brio,2015,7560,9548,31427,Petrol,Dealer,Automatic,0
city,2014,10080,13860,48000,Diesel,Dealer,Manual,0
city,2013,7350,13860,54242,Petrol,Dealer,Manual,0
brio,2012,4200,7490,53675,Petrol,Dealer,Manual,0
city,2016,14350,19040,49562,Petrol,Dealer,Manual,0
city,2015,11900,19040,40324,Petrol,Dealer,Manual,0
city,2015,11760,19040,25000,Petrol,Dealer,Manual,0
amaze,2014,5460,9800,36054,Petrol,Dealer,Manual,0
city,2016,12810,19040,29223,Petrol,Dealer,Manual,0
brio,2016,7700,8358,5600,Petrol,Dealer,Manual,0
amaze,2015,5600,8120,40023,Petrol,Dealer,Manual,0
jazz,2016,9240,10780,16002,Petrol,Dealer,Manual,0
amaze,2015,5600,9800,40026,Petrol,Dealer,Manual,0
jazz,2017,9100,12180,21200,Petrol,Dealer,Manual,0
amaze,2014,5110,9800,35000,Petrol,Dealer,Manual,0
city,2016,11690,13160,19434,Diesel,Dealer,Manual,0
brio,2017,6720,8120,19000,Petrol,Dealer,Manual,0
city,2015,9380,14000,18828,Petrol,Dealer,Manual,0
city,2011,5740,14000,69341,Petrol,Dealer,Manual,0
city,2009,4200,14000,69562,Petrol,Dealer,Manual,0
city,2015,10500,14000,27600,Petrol,Dealer,Manual,0
jazz,2010,3150,10500,61203,Petrol,Dealer,Manual,0
brio,2014,7420,9520,16500,Petrol,Dealer,Manual,0
city,2016,15260,19040,30753,Petrol,Dealer,Automatic,0
city,2015,12110,19040,24800,Petrol,Dealer,Manual,0
city,2015,13580,19040,21780,Petrol,Dealer,Manual,0
jazz,2016,8400,11760,4000,Petrol,Dealer,Manual,0
city,2014,8750,19040,40126,Petrol,Dealer,Manual,0
brio,2015,7350,8260,14465,Petrol,Dealer,Manual,0
city,2006,2940,10640,50456,Petrol,Dealer,Manual,0
city,2014,11550,19600,63000,Diesel,Dealer,Manual,0
city,2016,12586,16520,9010,Petrol,Dealer,Manual,0
brio,2013,4900,8260,9800,Petrol,Dealer,Manual,0
jazz,2016,10360,11900,15059,Petrol,Dealer,Automatic,0
jazz,2016,7910,11060,28569,Petrol,Dealer,Manual,0
amaze,2015,8050,10500,44000,Petrol,Dealer,Automatic,0
city,2015,11760,19040,34000,Petrol,Dealer,Manual,0
city,2016,14154,19040,10980,Petrol,Dealer,Manual,0
amaze,2014,6300,8960,19000,Petrol,Dealer,Manual,0
brio,2015,7560,8540,31427,Petrol,Dealer,Manual,0
jazz,2016,8960,11760,12000,Petrol,Dealer,Manual,0
city,2010,4550,13860,38000,Petrol,Dealer,Manual,0
amaze,2014,5250,9520,33019,Petrol,Dealer,Manual,0
city,2015,11970,18326,60076,Diesel,Dealer,Manual,0
city,2016,13300,16240,33988,Diesel,Dealer,Manual,0
brio,2015,5600,8260,60000,Petrol,Dealer,Manual,0
city,2009,4690,15400,87934,Petrol,Dealer,Manual,0
city,2017,16100,17500,9000,Diesel,Dealer,Manual,0
brio,2016,7420,8260,5464,Petrol,Dealer,Manual,0
